№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
134,Асафьева,12к1,30.328785999999997,60.04866,Вавиловых,14,30.390563,60.024752,1461.7142857142858
135,Асафьева,12к1,30.328785999999997,60.04866,Динамо пр.,3,30.279864,59.972699,1962.5714285714287
136,Асафьева,12к1,30.328785999999997,60.04866,Загородный просп.,47,30.321195,59.921804,2427.0
137,Асафьева,12к1,30.328785999999997,60.04866,Костюшко,2,30.295701,59.849212,3828.1428571428573
138,Асафьева,12к1,30.328785999999997,60.04866,Кузнецовская,25,30.332577,59.87143199999999,3286.8571428571427
139,Асафьева,12к1,30.328785999999997,60.04866,Литейный просп.,56,30.349456,59.935069999999996,2050.714285714286
140,Асафьева,12к1,30.328785999999997,60.04866,Луначарского пр.,47,30.360164,60.036281,950.1428571428571
141,Асафьева,12к1,30.328785999999997,60.04866,Льва Толстого,6/8,30.321859999999997,59.965309,1751.2857142857142
142,Асафьева,12к1,30.328785999999997,60.04866,Мечникова пр.,27,30.410891999999997,59.986982999999995,1845.4285714285713
143,Асафьева,12к1,30.328785999999997,60.04866,Народная,21,30.468124,59.879137,2629.4285714285716
144,Асафьева,12к1,30.328785999999997,60.04866,Оптиков,54,30.199033,60.000713,2076.8571428571427
145,Асафьева,12к1,30.328785999999997,60.04866,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2323.8571428571427
146,Асафьева,12к1,30.328785999999997,60.04866,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2684.0
147,Асафьева,12к1,30.328785999999997,60.04866,Учебный пер.,5,30.336763,60.037252,916.5714285714286
148,Асафьева,12к1,30.328785999999997,60.04866,наб. реки Фонтанки,154,30.28255,59.915765,2679.5714285714284
149,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2587.3333333333335
150,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Будапештская,3,30.36382,59.873704000000004,1757.3333333333333
151,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Вавиловых,14,30.390563,60.024752,3011.6666666666665
152,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Загородный просп.,47,30.321195,59.921804,1782.0
153,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Костюшко,2,30.295701,59.849212,1285.0
154,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Кузнецовская,25,30.332577,59.87143199999999,1247.6666666666667
155,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Литейный просп.,56,30.349456,59.935069999999996,2443.0
156,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Луначарского пр.,47,30.360164,60.036281,2880.0
157,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Льва Толстого,6/8,30.321859999999997,59.965309,2863.5
158,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Мечникова пр.,27,30.410891999999997,59.986982999999995,2305.3333333333335
159,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Народная,21,30.468124,59.879137,1561.0
160,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Оптиков,54,30.199033,60.000713,3999.5
161,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2624.0
162,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3994.5
163,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Солидарности просп.,4,30.490114000000002,59.92828000000001,2173.3333333333335
164,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Учебный пер.,5,30.336763,60.037252,2955.3333333333335
165,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,наб. реки Фонтанки,154,30.28255,59.915765,1850.3333333333333
166,Бадаева,11,30.443114,59.920975,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2593.8888888888887
167,Бадаева,11,30.443114,59.920975,Будапештская,3,30.36382,59.873704000000004,2079.3636363636365
168,Бадаева,11,30.443114,59.920975,Вавиловых,14,30.390563,60.024752,2394.090909090909
169,Бадаева,11,30.443114,59.920975,Динамо пр.,3,30.279864,59.972699,2475.2727272727275
170,Бадаева,11,30.443114,59.920975,Загородный просп.,47,30.321195,59.921804,1767.8181818181818
171,Бадаева,11,30.443114,59.920975,Костюшко,2,30.295701,59.849212,2833.181818181818
172,Бадаева,11,30.443114,59.920975,Кузнецовская,25,30.332577,59.87143199999999,2139.6363636363635
173,Бадаева,11,30.443114,59.920975,Литейный просп.,56,30.349456,59.935069999999996,1538.090909090909
174,Бадаева,11,30.443114,59.920975,Луначарского пр.,47,30.360164,60.036281,2489.7272727272725
175,Бадаева,11,30.443114,59.920975,Льва Толстого,6/8,30.321859999999997,59.965309,1960.0
176,Бадаева,11,30.443114,59.920975,Мечникова пр.,27,30.410891999999997,59.986982999999995,1698.2727272727273
177,Бадаева,11,30.443114,59.920975,Народная,21,30.468124,59.879137,1286.090909090909
178,Бадаева,11,30.443114,59.920975,Оптиков,54,30.199033,60.000713,2784.818181818182
179,Бадаева,11,30.443114,59.920975,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1683.3636363636363
180,Бадаева,11,30.443114,59.920975,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3723.090909090909
181,Бадаева,11,30.443114,59.920975,Солидарности просп.,4,30.490114000000002,59.92828000000001,956.0
182,Бадаева,11,30.443114,59.920975,Учебный пер.,5,30.336763,60.037252,2682.5454545454545
183,Бадаева,11,30.443114,59.920975,наб. реки Фонтанки,154,30.28255,59.915765,2125.0
