№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
134,Асафьева,12,30.328785999999997,60.04866,Кузнецовская,25,30.332577,59.87143199999999,5619.285714285715
135,Асафьева,12,30.328785999999997,60.04866,Литейный просп.,56,30.349456,59.935069999999996,4067.714285714286
136,Асафьева,12,30.328785999999997,60.04866,Луначарского пр.,47,30.360164,60.036281,955.5714285714286
137,Асафьева,12,30.328785999999997,60.04866,Льва Толстого,6/8,30.321859999999997,59.965309,2833.5714285714284
138,Асафьева,12,30.328785999999997,60.04866,Мечникова пр.,27,30.410891999999997,59.986982999999995,2041.5714285714287
139,Асафьева,12,30.328785999999997,60.04866,Народная,21,30.468124,59.879137,3294.0
140,Асафьева,12,30.328785999999997,60.04866,Оптиков,54,30.199033,60.000713,2459.5714285714284
141,Асафьева,12,30.328785999999997,60.04866,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2552.8571428571427
142,Асафьева,12,30.328785999999997,60.04866,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2857.4285714285716
143,Асафьева,12,30.328785999999997,60.04866,Учебный пер.,5,30.336763,60.037252,924.1428571428571
144,Асафьева,12,30.328785999999997,60.04866,наб. реки Фонтанки,154,30.28255,59.915765,5186.285714285715
145,Асафьева,12к1,30.328785999999997,60.04866,Аккуратова,2,30.301594,60.015377,1143.8181818181818
146,Асафьева,12к1,30.328785999999997,60.04866,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2713.818181818182
147,Асафьева,12к1,30.328785999999997,60.04866,Будапештская,3,30.36382,59.873704000000004,3958.7272727272725
148,Асафьева,12к1,30.328785999999997,60.04866,Вавиловых,14,30.390563,60.024752,1487.909090909091
149,Асафьева,12к1,30.328785999999997,60.04866,Динамо пр.,3,30.279864,59.972699,2108.2727272727275
150,Асафьева,12к1,30.328785999999997,60.04866,Загородный просп.,47,30.321195,59.921804,2818.0
151,Асафьева,12к1,30.328785999999997,60.04866,Костюшко,2,30.295701,59.849212,4290.454545454545
152,Асафьева,12к1,30.328785999999997,60.04866,Кузнецовская,25,30.332577,59.87143199999999,3723.818181818182
153,Асафьева,12к1,30.328785999999997,60.04866,Литейный просп.,56,30.349456,59.935069999999996,2423.6363636363635
154,Асафьева,12к1,30.328785999999997,60.04866,Луначарского пр.,47,30.360164,60.036281,951.9090909090909
155,Асафьева,12к1,30.328785999999997,60.04866,Льва Толстого,6/8,30.321859999999997,59.965309,1971.909090909091
