№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
160,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Оптиков,54,30.199033,60.000713,3630.5
161,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2566.5
162,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,4013.0
163,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Солидарности просп.,4,30.490114000000002,59.92828000000001,2148.5
164,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Учебный пер.,5,30.336763,60.037252,3016.5
165,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,наб. реки Фонтанки,154,30.28255,59.915765,1797.0
166,Бадаева,11,30.443114,59.920975,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2406.0
167,Бадаева,11,30.443114,59.920975,Будапештская,3,30.36382,59.873704000000004,2002.25
168,Бадаева,11,30.443114,59.920975,Вавиловых,14,30.390563,60.024752,2326.625
169,Бадаева,11,30.443114,59.920975,Динамо пр.,3,30.279864,59.972699,2402.375
170,Бадаева,11,30.443114,59.920975,Загородный просп.,47,30.321195,59.921804,1686.875
171,Бадаева,11,30.443114,59.920975,Костюшко,2,30.295701,59.849212,2703.0
172,Бадаева,11,30.443114,59.920975,Кузнецовская,25,30.332577,59.87143199999999,2041.125
173,Бадаева,11,30.443114,59.920975,Литейный просп.,56,30.349456,59.935069999999996,1414.875
174,Бадаева,11,30.443114,59.920975,Луначарского пр.,47,30.360164,60.036281,2418.0
175,Бадаева,11,30.443114,59.920975,Льва Толстого,6/8,30.321859999999997,59.965309,1885.375
176,Бадаева,11,30.443114,59.920975,Мечникова пр.,27,30.410891999999997,59.986982999999995,1644.125
177,Бадаева,11,30.443114,59.920975,Народная,21,30.468124,59.879137,1246.25
178,Бадаева,11,30.443114,59.920975,Оптиков,54,30.199033,60.000713,2685.375
179,Бадаева,11,30.443114,59.920975,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1654.5
180,Бадаева,11,30.443114,59.920975,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3590.75
181,Бадаева,11,30.443114,59.920975,Солидарности просп.,4,30.490114000000002,59.92828000000001,916.25
182,Бадаева,11,30.443114,59.920975,Учебный пер.,5,30.336763,60.037252,2594.875
183,Бадаева,11,30.443114,59.920975,наб. реки Фонтанки,154,30.28255,59.915765,1996.0
184,Бармалеева,13,30.305735,59.964503,Большой просп. ВО,85,30.250614000000002,59.930178000000005,746.625
185,Бармалеева,13,30.305735,59.964503,Будапештская,3,30.36382,59.873704000000004,2205.375
186,Бармалеева,13,30.305735,59.964503,Вавиловых,14,30.390563,60.024752,1746.875
187,Бармалеева,13,30.305735,59.964503,Динамо пр.,3,30.279864,59.972699,571.25
188,Бармалеева,13,30.305735,59.964503,Загородный просп.,47,30.321195,59.921804,1154.5
189,Бармалеева,13,30.305735,59.964503,Костюшко,2,30.295701,59.849212,2272.875
190,Бармалеева,13,30.305735,59.964503,Кузнецовская,25,30.332577,59.87143199999999,1921.25
191,Бармалеева,13,30.305735,59.964503,Литейный просп.,56,30.349456,59.935069999999996,836.125
192,Бармалеева,13,30.305735,59.964503,Луначарского пр.,47,30.360164,60.036281,1802.375
193,Бармалеева,13,30.305735,59.964503,Льва Толстого,6/8,30.321859999999997,59.965309,370.875
194,Бармалеева,13,30.305735,59.964503,Мечникова пр.,27,30.410891999999997,59.986982999999995,1307.125
195,Бармалеева,13,30.305735,59.964503,Народная,21,30.468124,59.879137,1790.125
196,Бармалеева,13,30.305735,59.964503,Оптиков,54,30.199033,60.000713,1618.875
197,Бармалеева,13,30.305735,59.964503,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1402.25
198,Бармалеева,13,30.305735,59.964503,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2522.375
